Anyo,Mes,Muertos Interurbanas,Muertos urbanas,Heridos graves interurbanas,Heridos graves urbanas,Heridos leves interurbanas,Heridos leves urbanas
1993,Enero,426,93,1659,1276,2817,3382
1993,Febrero,320,104,1333,1173,2348,3258
1993,Marzo,415,94,1591,1148,2592,3435
1993,Abril,439,89,1849,1170,3205,3406
1993,Mayo,407,104,1908,1343,3010,3821
1993,Junio,435,86,1783,1328,3177,3892
1993,Julio,551,99,2488,1278,4159,3986
1993,Agosto,564,96,2753,1134,4816,3366
1993,Septiembre,460,92,1908,1165,3379,3513
1993,Octubre,444,94,1879,1204,3453,3582
1993,Noviembre,343,99,1402,1182,2421,3201
1993,Diciembre,432,92,1723,1151,2872,3274
1994,Enero,397,95,1516,1131,2682,3246
1994,Febrero,273,68,1327,990,2317,3123
1994,Marzo,350,87,1378,1111,2651,3467
1994,Abril,314,88,1451,1049,2580,3400
1994,Mayo,335,82,1632,1150,2883,3730
1994,Junio,341,90,1711,1298,3028,3875
1994,Julio,486,105,2260,1244,4171,3917
1994,Agosto,532,89,2507,955,4417,3319
1994,Septiembre,404,100,1805,1111,3379,3453
1994,Octubre,356,104,1566,1169,3024,3701
1994,Noviembre,311,92,1493,1136,2888,3597
1994,Diciembre,415,101,1743,1258,3127,3750
1995,Enero,355,81,1503,1115,2777,3521
1995,Febrero,289,70,1405,1044,2565,3426
1995,Marzo,363,96,1541,1148,2661,3857
1995,Abril,409,95,1907,1180,3505,3929
1995,Mayo,358,80,1766,1231,3079,3951
1995,Junio,389,66,1736,1199,3052,3924
1995,Julio,522,88,2491,1222,4554,4091
1995,Agosto,491,83,2506,959,4736,3373
1995,Septiembre,447,99,2017,1103,3626,3787
1995,Octubre,345,93,1649,1163,3127,4017
1995,Noviembre,353,95,1611,1150,3037,4092
1995,Diciembre,392,92,1827,1126,3373,3773
1996,Enero,277,80,1382,1075,2652,3971
1996,Febrero,328,81,1414,1080,2562,3614
1996,Marzo,317,94,1611,1150,3070,4066
1996,Abril,352,71,1616,1063,3373,3754
1996,Mayo,343,96,1524,1159,3579,4345
1996,Junio,406,93,1627,1141,3753,4630
1996,Julio,430,90,2125,1158,4340,4279
1996,Agosto,468,80,2336,1035,5094,3787
1996,Septiembre,409,77,1884,1108,3466,3889
1996,Octubre,394,91,1748,1198,3235,4293
1996,Noviembre,337,96,1623,1118,3046,4094
1996,Diciembre,403,70,1790,934,3404,3962
1997,Enero,315,98,1346,1033,2580,3629
1997,Febrero,266,86,1223,1028,2349,3505
1997,Marzo,376,104,1786,1167,3392,4315
1997,Abril,335,95,1531,1146,2812,4377
1997,Mayo,362,85,1827,1096,3389,4379
1997,Junio,353,92,1846,1106,3343,4561
1997,Julio,464,105,2109,1171,3956,4698
1997,Agosto,540,99,2628,975,5143,3999
1997,Septiembre,391,89,1789,958,3191,4257
1997,Octubre,355,87,1700,1061,3174,4746
1997,Noviembre,347,92,1736,1014,3348,4399
1997,Diciembre,368,100,1761,878,3542,4248
1998,Enero,317,97,1513,937,3100,4056
1998,Febrero,317,93,1479,888,3035,3942
1998,Marzo,369,89,1688,1044,3496,4803
1998,Abril,319,72,1778,906,4013,4323
1998,Mayo,391,112,1788,1013,4009,4939
1998,Junio,423,100,1868,1020,4109,5162
1998,Julio,450,95,2277,1077,5130,5220
1998,Agosto,540,96,2675,934,6159,4390
1998,Septiembre,425,97,1949,978,4435,4877
1998,Octubre,431,100,1972,1057,4217,5288
1998,Noviembre,403,97,1952,963,4058,4930
1998,Diciembre,426,98,1966,942,4202,4820
1999,Enero,346,89,1605,937,3773,4507
1999,Febrero,312,81,1533,983,3461,4654
1999,Marzo,341,89,1688,1076,3879,4871
1999,Abril,363,81,1701,882,4157,4594
1999,Mayo,385,82,1746,980,4338,5231
1999,Junio,338,87,1742,996,4359,5153
1999,Julio,478,83,2240,947,5693,5242
1999,Agosto,482,88,2343,697,5987,4534
1999,Septiembre,459,72,1844,723,4783,4804
1999,Octubre,434,91,1703,802,4528,5187
1999,Noviembre,390,95,1489,773,3690,4868
1999,Diciembre,381,91,1670,783,4193,4525
2000,Enero,371,91,1477,797,3972,4918
2000,Febrero,314,80,1410,796,3470,5147
2000,Marzo,335,105,1617,867,3956,5848
2000,Abril,357,98,1596,716,4998,5446
2000,Mayo,361,89,1432,807,4616,5936
2000,Junio,387,81,1453,850,4520,6311
2000,Julio,535,88,1919,788,5913,6108
2000,Agosto,465,79,1931,684,6098,4910
2000,Septiembre,408,83,1459,769,4770,5315
2000,Octubre,397,105,1414,792,4739,5553
2000,Noviembre,367,90,1294,690,3974,5236
2000,Diciembre,409,81,1522,684,4801,5462
2001,Enero,333,70,1311,657,4194,5410
2001,Febrero,322,91,1153,659,3813,5267
2001,Marzo,337,81,1391,727,4475,6209
2001,Abril,334,88,1562,632,4851,5587
