CCAA,INFRACCIÓN,AÑO,EDAD,SEXO,VICTIMAS
ANDALUCÍA,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,768
ANDALUCÍA,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,43
ANDALUCÍA,LIBERTAD SEXUAL,2010,0-13,MASCULINO,119
ANDALUCÍA,RELACIONES FAMILIARES,2010,0-13,MASCULINO,82
ANDALUCÍA,PATRIMONIO,2010,0-13,MASCULINO,354
ANDALUCÍA,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,4
ANDALUCÍA,FALSEDADES,2010,0-13,MASCULINO,4
ANDALUCÍA,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
ANDALUCÍA,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,4
ANDALUCÍA,ORDEN PÚBLICO,2010,0-13,MASCULINO,23
ANDALUCÍA,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
ANDALUCÍA,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,11
ARAGÓN,CONTRA LAS PERSONAS,2010,0-13,MASCULINO,118
ARAGÓN,CONTRA LA LIBERTAD,2010,0-13,MASCULINO,11
ARAGÓN,LIBERTAD SEXUAL,2010,0-13,MASCULINO,23
ARAGÓN,RELACIONES FAMILIARES,2010,0-13,MASCULINO,9
ARAGÓN,PATRIMONIO,2010,0-13,MASCULINO,78
ARAGÓN,SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,2
ARAGÓN,FALSEDADES,2010,0-13,MASCULINO,1
ARAGÓN,ADMÓN. PÚBLICA,2010,0-13,MASCULINO,0
ARAGÓN,ADMÓN. JUSTICIA,2010,0-13,MASCULINO,1
ARAGÓN,ORDEN PÚBLICO,2010,0-13,MASCULINO,12
ARAGÓN,LEGISLACIÓN ESPECIAL,2010,0-13,MASCULINO,0
ARAGÓN,OTRAS INFRACCIONES PENALES,2010,0-13,MASCULINO,2
ASTURIAS (PRINCIPADO DE),CONTRA LAS PERSONAS,2010,0-13,MASCULINO,63
ASTURIAS (PRINCIPADO DE),CONTRA LA LIBERTAD,2010,0-13,MASCULINO,5
ASTURIAS (PRINCIPADO DE),LIBERTAD SEXUAL,2010,0-13,MASCULINO,6
ASTURIAS (PRINCIPADO DE),RELACIONES FAMILIARES,2010,0-13,MASCULINO,3
ASTURIAS (PRINCIPADO DE),PATRIMONIO,2010,0-13,MASCULINO,19
ASTURIAS (PRINCIPADO DE),SEGURIDAD COLECTIVA,2010,0-13,MASCULINO,0
ASTURIAS (PRINCIPADO DE),FALSEDADES,2010,0-13,MASCULINO,0
